,bill_num,date,bill_id,title,year,link,raw_text
0,1,Feb 1,HB 1608,"Trooper Landon E. Weaver Memorial Bridge - designation 					
                         (effective 60 DAYS)",2018,https://www.legis.state.pa.us//WU01/LI/LI/US/HTM/2018/0/0001..HTM,"       TROOPER LANDON E. WEAVER MEMORIAL BRIDGE - DESIGNATION       Act of Feb. 1, 2018,
                  P.L. 1,
                  No. 1  Cl. 87    20180001ua  An Act    Designating the bridge carrying U.S. Route 22 over the Juniata River, Norfolk Southern
            Corporation rail tracks and State Route 1010 (Penn Street) in Smithfield and Henderson
            Townships, Huntingdon County, as the Trooper Landon E. Weaver Memorial Bridge.    The General Assembly of the Commonwealth of Pennsylvania hereby enacts as follows:    20180001u1s  Section 1.  Trooper Landon E. Weaver Memorial Bridge.  (a)  Findings.--The General Assembly finds and declares as follows:  (1)  Trooper Landon E. Weaver was born November 11, 1993, in Altoona, Blair County, son
            of Eric E. and Christine L. Weaver.  (2)  Trooper Weaver, who grew up in rural Blair County, lived with his wife Macy Weaver
            in Martinsburg.  (3)  Trooper Weaver was a 2012 graduate of Central High School in Martinsburg.  (4)  Prior to his 2015 induction into the Pennsylvania State Police Academy, Trooper Weaver
            was a Dean's List student pursuing an undergraduate degree in criminology at Indiana
            University of Pennsylvania.  (5)  Trooper Weaver attended Zion Lutheran Church in Williamsburg.  (6)  Trooper Weaver and his wife, who met as Spring Cove Middle School students, were married
            at Zion Lutheran Church on June 4, 2016.  (7)  On June 17, 2016, Trooper Weaver graduated from the Pennsylvania State Police Academy.  (8)  Trooper Weaver applied a strong sense of focus and rigor in protecting the safety
            and security of others and bravely accepted the attendant risks.  (9)  Trooper Weaver of Troop G, Huntingdon Barracks, was killed in the line of duty on
            December 30, 2016, in Juniata Township, Huntingdon County, at 23 years of age.  (b)  Designation.--The bridge carrying U.S. Route 22 over the Juniata River, Norfolk Southern
            Corporation rail tracks and State Route 1010 (Penn Street) in Smithfield and Henderson
            Townships, Huntingdon County, is hereby designated as the Trooper Landon E. Weaver
            Memorial Bridge.  (c)  Signs.--The Department of Transportation shall erect and maintain appropriate signs
            displaying the name of the bridge to traffic in both directions on the bridge.  20180001u2s  Section 2.  Effective date.  This act shall take effect in 60 days.   "
1,2,Feb 14,HB 1175,"Public Officers (65 Pa.C.S.) - registration, reporting, prohibited activities, administration, penalties and registration fees, fund established, system and regulations 					
                         (effective IMMEDIATELY WITH EXCEPTIONS)",2018,https://www.legis.state.pa.us//WU01/LI/LI/US/HTM/2018/0/0002..HTM,"       PUBLIC OFFICERS (65 PA.C.S.) - REGISTRATION, REPORTING, PROHIBITED ACTIVITIES, ADMINISTRATION,
                     PENALTIES AND REGISTRATION FEES, FUND ESTABLISHED, SYSTEM AND REGULATIONS       Act of Feb. 14, 2018,
                  P.L. 2,
                  No. 2  Cl. 65    20180002ua  Session of 2018  No. 2018-2    HB 1175    AN ACT    Amending Title 65 (Public Officers) of the Pennsylvania Consolidated Statutes, in
            lobbying disclosure, further providing for definitions, for registration, for reporting,
            for prohibited activities, for administration, for penalties and for registration
            fees, fund established, system and regulations.    The General Assembly of the Commonwealth of Pennsylvania hereby enacts as follows:    20180002u1s  Section 1.  Section 13A03 of Title 65 of the Pennsylvania Consolidated Statutes is amended by
            adding a definition to read:  § 13A03.  Definitions.  The following words and phrases when used in this chapter shall have the meanings
            given to them in this section unless the context clearly indicates otherwise:  * * *  ""Authorized representative, employee or agent.""  An individual designated by a principal or lobbying firm to accept notices issued
            by the department or commission in accordance with this chapter.  * * *  20180002u2s  Section 2.  Sections 13A04(a), (b)(1), (d) and (e)(1), 13A05(a), (b)(4), (6) and (8) and (d) and
            13A07(f)(2) of Title 65 are amended to read:  § 13A04.  Registration.  (a)  General rule.--Unless excluded under section 13A06 (relating to exemption from registration
            and reporting), a lobbyist, lobbying firm or a principal must register with the department electronically using the computerized filing system developed by the department that
               is consistent with the purposes of this chapter within ten days of acting in any capacity as a lobbyist, lobbying firm or principal.
            Registration shall be biennial and shall begin January 1, 2007.  (b)  Principals and lobbying firms.--  (1)  A principal or lobbying firm required to register under subsection (a) shall file
            a single registration statement setting forth the following information with the department:  (i)  Name of the business .  (ii)  Permanent address.  (iii)  Daytime telephone number.  (iv)  E-mail address of the authorized representative  employee or agent , if available.  (v)  [Name and nature] Nature of business.  (vi)  Name, registration number and acronym of any affiliated political action committees.  (vii)  Name and permanent business address of each individual who will for economic consideration
            engage in lobbying on behalf of the principal or lobbying firm.  (viii)  Registration number when available.  (ix)  Name of the authorized representative, employee or agent.  * * *  (d)  Amendments.--  (1)  If there is a change of information required for the registration statement under
            subsection (b)(1) or (2) or (c), an amended registration statement shall be filed
            with the department electronically using the computerized filing  system developed by the department that is consistent with  the purpose of this chapter within 14 days after the change occurs.  (2)  When there is a change in information required for the registration statement under
            subsection (b)(3), an amended registration statement shall be filed with the department electronically using the computerized filing  system developed by the department that is consistent with  the purpose of this chapter within 14 days of the end of the year in which the change occurs.  (e)  Termination.--  (1)  A lobbyist, lobbying firm or principal may terminate registration by filing notice
            of termination with the department[.] electronically using the computerized filing  system developed by the department that is consistent with  the purpose of this chapter.  * * *  § 13A05.  Reporting.  (a)  General rule.--A registered principal shall, [under oath or affirmation] subject to the penalties under 18 Pa.C.S. § 4904  (relating to unsworn falsification to authorities) , file quarterly expense reports with the department electronically  using the computerized filing system developed by the department  that is consistent with the purpose of this chapter no later than 30 days after the last day of the quarter.  (b)  Content.--  * * *  (4)  A lobbying firm or a lobbyist not associated with a lobbying firm shall sign the reports electronically submitted by each principal for whom the lobbying firm or lobbyist is registered
            to attest to the validity and accuracy to the best of the attestor's knowledge. A
            lobbying firm or lobbyist may attach a statement to the electronic report of a principal, describing the limits of the knowledge of the lobbying firm
            or lobbyist concerning the information contained in the expense report.  * * *  (6)  A lobbying firm or a lobbyist not associated with a lobbying firm shall submit an
            expense report electronically  using the computerized filing system developed by the  department that is consistent with the purpose of this  chapter if during the reporting period the lobbying firm or lobbyist engaged in lobbying
            which was not contained in any expense report filed by a principal or principals represented.  * * *  (8)  A lobbying firm or a lobbyist not associated with a lobbying firm shall submit a report electronically using the  computerized filing system developed by the department that  is consistent with the purpose of this chapter if the lobbying firm or lobbyist engaged in lobbying on behalf of any entity that
            is exempt under section 13A06(7), (8), (9) or (10) (relating to exemption from registration
            and reporting).  * * *  (d)  Thresholds for reporting.--An expense report required under this section shall be
            filed electronically using the  computerized filing system developed by the department that is  consistent with the purpose of this chapter when total expenses for lobbying exceed $2,500 for a registered principal in a reporting
            period. In a reporting period in which total expenses are $2,500 or less, a statement
            to that effect shall be filed electronically using the computerized filing system developed by  the department that is consistent with the purpose of this  chapter .  * * *  § 13A07.  Prohibited activities.  * * *  (f)  Unlawful acts.--  * * *  (2)  The commission may receive complaints regarding violations of this subsection. If
            the commission determines a violation of this subsection has occurred, the commission,
