,bill_num,date,bill_id,title,year,link,raw_text
0,1,Feb 1,HB 1608,"Trooper Landon E. Weaver Memorial Bridge - designation 					
                         (effective 60 DAYS)",2018,https://www.legis.state.pa.us//WU01/LI/LI/US/HTM/2018/0/0001..HTM,"       trooper landon e  weaver memorial bridge   designation       act of feb  1, 2018,
                  p l  1,
                  no  1  cl  87    20180001ua  an act    designating the bridge carrying u s  route 22 over the juniata river, norfolk southern
            corporation rail tracks and state route 1010 (penn street) in smithfield and henderson
            townships, huntingdon county, as the trooper landon e  weaver memorial bridge     the general assembly of the commonwealth of pennsylvania hereby enacts as follows     20180001u1s  section 1   trooper landon e  weaver memorial bridge   (a)  findings   the general assembly finds and declares as follows   (1)  trooper landon e  weaver was born november 11, 1993, in altoona, blair county, son
            of eric e  and christine l  weaver   (2)  trooper weaver, who grew up in rural blair county, lived with his wife macy weaver
            in martinsburg   (3)  trooper weaver was a 2012 graduate of central high school in martinsburg   (4)  prior to his 2015 induction into the pennsylvania state police academy, trooper weaver
            was a dean's list student pursuing an undergraduate degree in criminology at indiana
            university of pennsylvania   (5)  trooper weaver attended zion lutheran church in williamsburg   (6)  trooper weaver and his wife, who met as spring cove middle school students, were married
            at zion lutheran church on june 4, 2016   (7)  on june 17, 2016, trooper weaver graduated from the pennsylvania state police academy   (8)  trooper weaver applied a strong sense of focus and rigor in protecting the safety
            and security of others and bravely accepted the attendant risks   (9)  trooper weaver of troop g, huntingdon barracks, was killed in the line of duty on
            december 30, 2016, in juniata township, huntingdon county, at 23 years of age   (b)  designation   the bridge carrying u s  route 22 over the juniata river, norfolk southern
            corporation rail tracks and state route 1010 (penn street) in smithfield and henderson
            townships, huntingdon county, is hereby designated as the trooper landon e  weaver
            memorial bridge   (c)  signs   the department of transportation shall erect and maintain appropriate signs
            displaying the name of the bridge to traffic in both directions on the bridge   20180001u2s  section 2   effective date   this act shall take effect in 60 days    "
1,2,Feb 14,HB 1175,"Public Officers (65 Pa.C.S.) - registration, reporting, prohibited activities, administration, penalties and registration fees, fund established, system and regulations 					
                         (effective IMMEDIATELY WITH EXCEPTIONS)",2018,https://www.legis.state.pa.us//WU01/LI/LI/US/HTM/2018/0/0002..HTM,"       public officers (65 pa c s )   registration, reporting, prohibited activities, administration,
                     penalties and registration fees, fund established, system and regulations       act of feb  14, 2018,
                  p l  2,
                  no  2  cl  65    20180002ua  session of 2018  no  2018 2    hb 1175    an act    amending title 65 (public officers) of the pennsylvania consolidated statutes, in
            lobbying disclosure, further providing for definitions, for registration, for reporting,
            for prohibited activities, for administration, for penalties and for registration
            fees, fund established, system and regulations     the general assembly of the commonwealth of pennsylvania hereby enacts as follows     20180002u1s  section 1   section 13a03 of title 65 of the pennsylvania consolidated statutes is amended by
            adding a definition to read     13a03   definitions   the following words and phrases when used in this chapter shall have the meanings
            given to them in this section unless the context clearly indicates otherwise          ""authorized representative, employee or agent ""  an individual designated by a principal or lobbying firm to accept notices issued
            by the department or commission in accordance with this chapter          20180002u2s  section 2   sections 13a04(a), (b)(1), (d) and (e)(1), 13a05(a), (b)(4), (6) and (8) and (d) and
            13a07(f)(2) of title 65 are amended to read     13a04   registration   (a)  general rule   unless excluded under section 13a06 (relating to exemption from registration
            and reporting), a lobbyist, lobbying firm or a principal must register with the department electronically using the computerized filing system developed by the department that
               is consistent with the purposes of this chapter within ten days of acting in any capacity as a lobbyist, lobbying firm or principal 
            registration shall be biennial and shall begin january 1, 2007   (b)  principals and lobbying firms     (1)  a principal or lobbying firm required to register under subsection (a) shall file
            a single registration statement setting forth the following information with the department   (i)  name of the business    (ii)  permanent address   (iii)  daytime telephone number   (iv)  e mail address of the authorized representative  employee or agent , if available   (v)   name and nature  nature of business   (vi)  name, registration number and acronym of any affiliated political action committees   (vii)  name and permanent business address of each individual who will for economic consideration
            engage in lobbying on behalf of the principal or lobbying firm   (viii)  registration number when available   (ix)  name of the authorized representative, employee or agent          (d)  amendments     (1)  if there is a change of information required for the registration statement under
            subsection (b)(1) or (2) or (c), an amended registration statement shall be filed
            with the department electronically using the computerized filing  system developed by the department that is consistent with  the purpose of this chapter within 14 days after the change occurs   (2)  when there is a change in information required for the registration statement under
            subsection (b)(3), an amended registration statement shall be filed with the department electronically using the computerized filing  system developed by the department that is consistent with  the purpose of this chapter within 14 days of the end of the year in which the change occurs   (e)  termination     (1)  a lobbyist, lobbying firm or principal may terminate registration by filing notice
            of termination with the department    electronically using the computerized filing  system developed by the department that is consistent with  the purpose of this chapter            13a05   reporting   (a)  general rule   a registered principal shall,  under oath or affirmation  subject to the penalties under 18 pa c s    4904  (relating to unsworn falsification to authorities) , file quarterly expense reports with the department electronically  using the computerized filing system developed by the department  that is consistent with the purpose of this chapter no later than 30 days after the last day of the quarter   (b)  content            (4)  a lobbying firm or a lobbyist not associated with a lobbying firm shall sign the reports electronically submitted by each principal for whom the lobbying firm or lobbyist is registered
            to attest to the validity and accuracy to the best of the attestor's knowledge  a
            lobbying firm or lobbyist may attach a statement to the electronic report of a principal, describing the limits of the knowledge of the lobbying firm
            or lobbyist concerning the information contained in the expense report          (6)  a lobbying firm or a lobbyist not associated with a lobbying firm shall submit an
            expense report electronically  using the computerized filing system developed by the  department that is consistent with the purpose of this  chapter if during the reporting period the lobbying firm or lobbyist engaged in lobbying
            which was not contained in any expense report filed by a principal or principals represented          (8)  a lobbying firm or a lobbyist not associated with a lobbying firm shall submit a report electronically using the  computerized filing system developed by the department that  is consistent with the purpose of this chapter if the lobbying firm or lobbyist engaged in lobbying on behalf of any entity that
            is exempt under section 13a06(7), (8), (9) or (10) (relating to exemption from registration
            and reporting)          (d)  thresholds for reporting   an expense report required under this section shall be
            filed electronically using the  computerized filing system developed by the department that is  consistent with the purpose of this chapter when total expenses for lobbying exceed  2,500 for a registered principal in a reporting
            period  in a reporting period in which total expenses are  2,500 or less, a statement
            to that effect shall be filed electronically using the computerized filing system developed by  the department that is consistent with the purpose of this  chapter             13a07   prohibited activities          (f)  unlawful acts            (2)  the commission may receive complaints regarding violations of this subsection  if
            the commission determines a violation of this subsection has occurred, the commission,
            after investigation, notice and hearing   (i)  shall impose an administrative penalty in an amount not to exceed   2,000   4,000   and  (ii)  may prohibit a lobbyist from lobbying for economic consideration for up to five years          20180002u3s  section 3   section 13a08(b) of title 65 is amended and the section is amended by adding a subsection
            to read     13a08   administration          (b)  forms   the department shall prescribe registration and reporting forms to be used
            under this chapter  the forms shall be available on a publicly accessible internet
            website  all information requested on the forms shall be provided to the best of the
            knowledge, information and belief of the person required to file and shall be signed
             under oath or equivalent affirmation  subject to the penalties under 18 pa c s    4904  (relating to unsworn falsification to authorities)           (k)  notices   notices issued by the department or the commission to a principal or lobbying
            firm, in accordance with this chapter, shall be delivered to the authorized representative,
            employee or agent   20180002u4s  section 4   section 13a09(c)(1) of title 65 is amended and subsection (a) is amended by adding
